region,year,capture_mass_level
Республика Бурятия,2004,524.0
Республика Тыва,2004,57.0
Республика Хакасия,2004,165.0
Алтайский край,2004,769.0
Красноярский край,2004,9129.0
Иркутская область,2004,2674.0
Кемеровская область,2004,4289.0
Новосибирская область,2004,868.0
Омская область,2004,1716.0
Томская область,2004,300.0
Республика Саха (Якутия),2004,421.0
Приморский край,2004,2485.0
Хабаровский край,2004,996.0
Амурская область,2004,252.0
Магаданская область,2004,57.0
Сахалинская область,2004,397.0
Еврейская автономная область,2004,114.0
Чукотский автономный округ,2004,32.0
Белгородская область,2005,911.0
Брянская область,2005,737.0
Владимирская область,2005,9.0
Воронежская область,2005,42.0
Ивановская область,2005,30.0
Калужская область,2005,106.0
Костромская область,2005,173.0
Курская область,2005,26.0
Липецкая область,2005,1291.0
Московская область,2005,1032.0
Орловская область,2005,5.0
Рязанская область,2005,454.0
Смоленская область,2005,146.0
Тамбовская область,2005,10.0
Тверская область,2005,19.0
Тульская область,2005,425.0
Ярославская область,2005,60.0
г. Москва,2005,87.0
Республика Карелия,2005,154.0
Республика Коми,2005,323.0
Архангельская область,2005,942.0
Вологодская область,2005,1636.0
Калининградская область,2005,5.0
Ленинградская область,2005,740.0
Мурманская область,2005,1818.0
Новгородская область,2005,88.0
Псковская область,2005,5.0
г. Санкт-Петербург,2005,63.0
Республика Адыгея,2005,6.0
Республика Калмыкия,2005,0.4
Краснодарский край,2005,550.0
Астраханская область,2005,22.0
Волгоградская область,2005,378.0
Ростовская область,2005,720.0
Республика Дагестан,2005,2.0
Республика Ингушетия,2005,0.2
Кабардино-Балкарская Республика,2005,2.0
Карачаево-Черкесская Республика,2005,219.0
Республика Северная Осетия - Алания,2005,235.0
Ставропольский край,2005,72.0
Республика Башкортостан,2005,836.0
Республика Марий Эл,2005,7.0
Республика Мордовия,2005,485.0
Республика Татарстан,2005,311.0
Удмуртская Республика,2005,35.0
Чувашская Республика,2005,44.0
Кировская область,2005,97.0
Нижегородская область,2005,241.0
Оренбургская область,2005,796.0
Пензенская область,2005,38.0
Самарская область,2005,487.0
Саратовская область,2005,380.0
Ульяновская область,2005,182.0
Курганская область,2005,16.0
Свердловская область,2005,8361.0
Тюменская область,2005,45.0
Челябинская область,2005,4363.0
Республика Алтай,2005,2.0
Республика Бурятия,2005,384.0
Республика Тыва,2005,41.0
Республика Хакасия,2005,229.0
Алтайский край,2005,787.0
Красноярский край,2005,9600.0
Иркутская область,2005,2589.0
Кемеровская область,2005,4829.0
Новосибирская область,2005,963.0
Омская область,2005,1577.0
Томская область,2005,247.0
Республика Саха (Якутия),2005,328.0
Приморский край,2005,2698.0
Хабаровский край,2005,957.0
Амурская область,2005,229.0
Магаданская область,2005,58.0
Сахалинская область,2005,394.0
Еврейская автономная область,2005,100.0
Чукотский автономный округ,2005,38.0
Белгородская область,2006,787.0
Брянская область,2006,761.0
Владимирская область,2006,10.0
Воронежская область,2006,135.0
Ивановская область,2006,50.0
Калужская область,2006,107.0
Костромская область,2006,53.0
Курская область,2006,47.0
Липецкая область,2006,1075.0
Московская область,2006,1028.0
Орловская область,2006,4.0
Рязанская область,2006,316.0
Смоленская область,2006,169.0
Тамбовская область,2006,11.0
Тверская область,2006,18.0
Тульская область,2006,377.0
Ярославская область,2006,59.0
г. Москва,2006,85.0
Республика Карелия,2006,154.0
Республика Коми,2006,322.0
Архангельская область,2006,711.0
