region,year,unemployment_rate
Ставропольский край,2009,8.7
Республика Башкортостан,2009,9.3
Республика Марий Эл,2009,11.6
Республика Мордовия,2009,5.4
Республика Татарстан,2009,8.5
Удмуртская Республика,2009,8.7
Чувашская Республика,2009,11.5
Кировская область,2009,10.9
Нижегородская область,2009,7.4
Оренбургская область,2009,8.8
Пензенская область,2009,7.9
Самарская область,2009,6.1
Саратовская область,2009,8.8
Ульяновская область,2009,9.0
Курганская область,2009,13.3
Свердловская область,2009,8.3
Тюменская область,2009,6.8
Челябинская область,2009,8.0
Республика Алтай,2009,13.9
Республика Бурятия,2009,14.1
Республика Тыва,2009,21.5
Республика Хакасия,2009,9.0
Алтайский край,2009,12.3
Красноярский край,2009,9.5
Иркутская область,2009,10.8
Кемеровская область,2009,9.7
Новосибирская область,2009,10.0
Омская область,2009,8.5
Томская область,2009,8.7
Республика Саха (Якутия),2009,8.7
Приморский край,2009,9.8
Хабаровский край,2009,10.5
Амурская область,2009,8.7
Магаданская область,2009,6.6
Сахалинская область,2009,10.0
Еврейская автономная область,2009,8.5
Чукотский автономный округ,2009,4.4
Белгородская область,2010,5.2
Брянская область,2010,8.0
Владимирская область,2010,6.1
Воронежская область,2010,7.5
Ивановская область,2010,7.6
Калужская область,2010,6.7
Костромская область,2010,6.0
Курская область,2010,8.2
Липецкая область,2010,4.5
Московская область,2010,3.3
Орловская область,2010,8.9
Рязанская область,2010,8.4
Смоленская область,2010,7.4
Тамбовская область,2010,7.8
Тверская область,2010,6.6
Тульская область,2010,5.8
Ярославская область,2010,7.5
г. Москва,2010,1.8
Республика Карелия,2010,9.3
Республика Коми,2010,10.1
Архангельская область,2010,6.9
Вологодская область,2010,7.8
Калининградская область,2010,10.3
Ленинградская область,2010,5.2
Мурманская область,2010,8.6
Новгородская область,2010,5.6
Псковская область,2010,9.5
г. Санкт-Петербург,2010,2.6
Республика Адыгея,2010,9.3
Республика Калмыкия,2010,14.8
Краснодарский край,2010,6.7
Астраханская область,2010,8.2
Волгоградская область,2010,8.0
Ростовская область,2010,7.7
Республика Дагестан,2010,14.8
Республика Ингушетия,2010,49.7
Кабардино-Балкарская Республика,2010,12.7
Карачаево-Черкесская Республика,2010,10.3
Республика Северная Осетия - Алания,2010,9.7
Ставропольский край,2010,6.9
Республика Башкортостан,2010,8.9
Республика Марий Эл,2010,10.5
Республика Мордовия,2010,5.4
Республика Татарстан,2010,6.2
Удмуртская Республика,2010,9.3
Чувашская Республика,2010,9.5
Кировская область,2010,8.6
Нижегородская область,2010,7.7
Оренбургская область,2010,7.2
Пензенская область,2010,6.4
Самарская область,2010,5.8
Саратовская область,2010,6.3
Ульяновская область,2010,8.8
Курганская область,2010,12.1
Свердловская область,2010,8.4
Тюменская область,2010,6.9
Челябинская область,2010,7.5
Республика Алтай,2010,12.2
Республика Бурятия,2010,10.4
Республика Тыва,2010,21.7
Республика Хакасия,2010,9.1
Алтайский край,2010,8.8
Красноярский край,2010,6.2
Иркутская область,2010,10.1
Кемеровская область,2010,8.9
Новосибирская область,2010,7.7
Омская область,2010,8.1
Томская область,2010,7.7
Республика Саха (Якутия),2010,8.9
Приморский край,2010,9.5
Хабаровский край,2010,8.9
Амурская область,2010,6.9
Магаданская область,2010,5.6
Сахалинская область,2010,8.9
