region,year,opzh,vrp
Псковская область,2004,60.63,35816.0
г. Санкт-Петербург,2004,67.34,542359.2
Республика Адыгея,2004,67.76,12493.2
Республика Калмыкия,2004,67.29,8518.5
Краснодарский край,2004,67.52,313623.6
Астраханская область,2004,65.31,56710.9
Волгоградская область,2004,66.94,154337.7
Ростовская область,2004,66.74,221167.4
Республика Дагестан,2004,72.7,80712.4
Республика Ингушетия,2004,75.92,6210.4
Кабардино-Балкарская Республика,2004,69.8,29052.9
Карачаево-Черкесская Республика,2004,69.54,13127.2
Республика Северная Осетия - Алания,2004,68.42,24268.0
Ставропольский край,2004,67.78,122235.4
Республика Башкортостан,2004,66.26,310845.1
Республика Марий Эл,2004,63.38,30085.6
Республика Мордовия,2004,66.58,38334.9
Республика Татарстан,2004,67.65,391116.0
Удмуртская Республика,2004,64.2,100833.1
Чувашская Республика,2004,66.31,59573.8
Кировская область,2004,63.93,70706.2
Нижегородская область,2004,63.75,241230.4
Оренбургская область,2004,65.37,169876.7
Пензенская область,2004,65.72,59711.7
Самарская область,2004,65.69,327118.5
Саратовская область,2004,65.63,151636.9
Ульяновская область,2004,65.34,67501.0
Курганская область,2004,63.88,42470.6
Свердловская область,2004,64.42,364368.8
Тюменская область,2004,66.63,1536733.7
Челябинская область,2004,64.64,291179.9
Республика Алтай,2004,61.13,8516.7
Республика Тыва,2004,56.49,9838.5
Республика Хакасия,2004,62.37,33102.9
Алтайский край,2004,65.53,114840.5
Красноярский край,2004,63.59,365454.1
Иркутская область,2004,60.82,213244.2
Кемеровская область,2004,62.23,244462.0
Новосибирская область,2004,65.58,191826.7
Омская область,2004,65.65,192877.3
Томская область,2004,65.36,132439.3
Республика Бурятия,2004,61.13,63918.5
Республика Саха (Якутия),2004,64.21,153496.7
Приморский край,2004,62.96,152301.1
Хабаровский край,2004,62.18,133330.5
Амурская область,2004,60.31,64250.2
Магаданская область,2004,62.44,24612.3
Сахалинская область,2004,61.49,91729.6
Еврейская автономная область,2004,59.4,11230.9
Чукотский автономный округ,2004,57.45,12357.8
Белгородская область,2005,68.42,144987.8
Брянская область,2005,63.41,66692.3
Владимирская область,2005,63.28,86926.8
Воронежская область,2005,66.24,133586.6
Ивановская область,2005,62.11,44415.4
Калужская область,2005,64.26,70953.9
Костромская область,2005,62.66,44684.7
Курская область,2005,64.99,86624.9
Липецкая область,2005,66.02,145194.4
Московская область,2005,65.68,708062.1
Орловская область,2005,65.09,53181.9
Рязанская область,2005,64.03,84382.7
Смоленская область,2005,61.97,65525.6
Тамбовская область,2005,65.49,63614.8
Тверская область,2005,61.4,96897.4
Тульская область,2005,62.85,116221.2
Ярославская область,2005,63.98,131252.1
г. Москва,2005,71.36,4135154.6
Республика Карелия,2005,62.06,77124.8
Республика Коми,2005,62.27,171307.2
Архангельская область,2005,62.93,166433.4
Вологодская область,2005,63.11,193966.1
Калининградская область,2005,61.49,81837.6
Ленинградская область,2005,61.96,205416.9
Мурманская область,2005,63.82,132870.2
Новгородская область,2005,61.65,63848.3
Псковская область,2005,60.18,40582.9
г. Санкт-Петербург,2005,67.76,666392.8
Республика Адыгея,2005,68.05,17029.1
Республика Калмыкия,2005,66.97,9685.7
Краснодарский край,2005,67.5,372929.8
Астраханская область,2005,64.83,70127.6
Волгоградская область,2005,67.02,203232.2
Ростовская область,2005,66.91,263051.5
Республика Дагестан,2005,73.29,90442.6
Республика Ингушетия,2005,75.64,7419.3
Кабардино-Балкарская Республика,2005,69.3,36833.4
Карачаево-Черкесская Республика,2005,69.23,16724.3
Республика Северная Осетия - Алания,2005,69.62,31182.2
Ставропольский край,2005,67.72,146569.3
Республика Башкортостан,2005,66.54,381646.5
Республика Марий Эл,2005,63.41,33350.7
Республика Мордовия,2005,66.58,44267.0
Республика Татарстан,2005,67.95,482759.2
Удмуртская Республика,2005,64.34,139995.3
