region,year,opzh,vrp,real_wage_index
Карачаево-Черкесская Республика,2003,68.1,11481.1,111.1
Республика Северная Осетия - Алания,2003,68.47,18925.2,102.1
Ставропольский край,2003,67.14,101382.6,108.3
Республика Башкортостан,2003,66.39,242920.5,105.5
Республика Марий Эл,2003,63.99,22987.3,114.5
Республика Мордовия,2003,66.28,33244.0,118.0
Республика Татарстан,2003,67.84,305086.1,104.7
Удмуртская Республика,2003,64.34,89034.5,110.5
Чувашская Республика,2003,66.09,45133.1,114.4
Кировская область,2003,63.71,57795.8,109.6
Нижегородская область,2003,64.03,206926.0,105.0
Оренбургская область,2003,65.35,115824.6,111.3
Пензенская область,2003,65.67,48111.5,122.7
Самарская область,2003,65.59,256554.6,107.3
Саратовская область,2003,65.46,119909.0,114.5
Ульяновская область,2003,65.25,55184.3,109.8
Курганская область,2003,63.87,37046.2,112.8
Свердловская область,2003,63.97,284576.3,111.6
Тюменская область,2003,66.07,1117514.4,107.6
Челябинская область,2003,64.78,220185.2,113.0
Республика Алтай,2003,60.24,6903.9,109.3
Республика Тыва,2003,54.31,8121.2,112.3
Республика Хакасия,2003,60.75,28969.2,110.4
Алтайский край,2003,66.05,88733.3,108.0
Красноярский край,2003,63.03,272727.0,99.6
Иркутская область,2003,60.68,167927.1,106.5
Кемеровская область,2003,61.86,164903.1,109.6
Новосибирская область,2003,65.83,153798.9,109.5
Омская область,2003,66.01,115029.5,112.7
Томская область,2003,64.44,97084.3,110.2
Республика Бурятия,2003,61.25,52253.7,111.4
Республика Саха (Якутия),2003,63.96,132964.1,106.0
Приморский край,2003,63.07,119333.7,112.5
Хабаровский край,2003,61.85,116318.1,113.0
Амурская область,2003,61.26,53199.9,110.7
Магаданская область,2003,63.03,24325.9,115.0
Сахалинская область,2003,61.44,63139.2,116.4
Еврейская автономная область,2003,60.8,8564.6,110.6
Чукотский автономный округ,2003,59.1,13501.1,109.2
Белгородская область,2004,68.17,114409.3,106.1
Брянская область,2004,64.16,51003.4,112.2
Владимирская область,2004,62.85,74207.0,104.2
Воронежская область,2004,66.13,117197.6,109.5
Ивановская область,2004,62.37,40159.4,110.4
Калужская область,2004,64.46,57993.8,111.5
Костромская область,2004,62.64,37787.4,107.1
Курская область,2004,64.95,76506.1,111.4
Липецкая область,2004,65.69,141778.3,111.0
Московская область,2004,65.57,535204.4,109.7
Орловская область,2004,65.02,46042.3,110.6
Рязанская область,2004,64.14,69996.0,110.4
Смоленская область,2004,62.27,56113.9,106.7
Тамбовская область,2004,65.57,56775.0,110.7
Тверская область,2004,61.63,88081.5,112.7
Тульская область,2004,63.02,88119.6,108.5
Ярославская область,2004,63.77,112438.7,111.6
г. Москва,2004,70.77,2853272.4,112.1
Республика Карелия,2004,61.58,53964.1,109.6
Республика Коми,2004,62.21,131588.0,106.0
Архангельская область,2004,62.33,142564.7,112.9
Вологодская область,2004,62.78,161378.6,114.2
Калининградская область,2004,61.36,66552.1,104.9
Ленинградская область,2004,61.97,166445.0,108.4
Мурманская область,2004,63.59,124972.0,104.8
Новгородская область,2004,61.44,49242.3,111.1
Псковская область,2004,60.63,35816.0,108.1
г. Санкт-Петербург,2004,67.34,542359.2,110.8
Республика Адыгея,2004,67.76,12493.2,113.4
Республика Калмыкия,2004,67.29,8518.5,109.7
Краснодарский край,2004,67.52,313623.6,115.3
Астраханская область,2004,65.31,56710.9,111.7
Волгоградская область,2004,66.94,154337.7,110.9
Ростовская область,2004,66.74,221167.4,112.5
Республика Дагестан,2004,72.7,80712.4,114.2
Республика Ингушетия,2004,75.92,6210.4,104.2
Кабардино-Балкарская Республика,2004,69.8,29052.9,110.9
Карачаево-Черкесская Республика,2004,69.54,13127.2,109.2
Республика Северная Осетия - Алания,2004,68.42,24268.0,110.3
Ставропольский край,2004,67.78,122235.4,112.6
Республика Башкортостан,2004,66.26,310845.1,107.3
Республика Марий Эл,2004,63.38,30085.6,108.9
Республика Мордовия,2004,66.58,38334.9,109.2
Республика Татарстан,2004,67.65,391116.0,108.4
Удмуртская Республика,2004,64.2,100833.1,106.3
Чувашская Республика,2004,66.31,59573.8,112.7
Кировская область,2004,63.93,70706.2,111.5
Нижегородская область,2004,63.75,241230.4,111.0
Оренбургская область,2004,65.37,169876.7,110.8
Пензенская область,2004,65.72,59711.7,99.4
Самарская область,2004,65.69,327118.5,108.3
Саратовская область,2004,65.63,151636.9,112.4
Ульяновская область,2004,65.34,67501.0,105.2
Курганская область,2004,63.88,42470.6,112.1
Свердловская область,2004,64.42,364368.8,112.9
Тюменская область,2004,66.63,1536733.7,107.1
Челябинская область,2004,64.64,291179.9,110.8
Республика Алтай,2004,61.13,8516.7,106.0
Республика Тыва,2004,56.49,9838.5,103.4
Республика Хакасия,2004,62.37,33102.9,107.9
Алтайский край,2004,65.53,114840.5,113.6
Красноярский край,2004,63.59,365454.1,107.5
Иркутская область,2004,60.82,213244.2,107.9
Кемеровская область,2004,62.23,244462.0,116.0
Новосибирская область,2004,65.58,191826.7,115.5
Омская область,2004,65.65,192877.3,112.8
Томская область,2004,65.36,132439.3,106.5
Республика Бурятия,2004,61.13,63918.5,106.0
Республика Саха (Якутия),2004,64.21,153496.7,105.8
Приморский край,2004,62.96,152301.1,110.2
Хабаровский край,2004,62.18,133330.5,106.6
Амурская область,2004,60.31,64250.2,108.2
Магаданская область,2004,62.44,24612.3,107.0
Сахалинская область,2004,61.49,91729.6,113.8
Еврейская автономная область,2004,59.4,11230.9,105.7
Чукотский автономный округ,2004,57.45,12357.8,95.0
Белгородская область,2005,68.42,144987.8,111.5
Брянская область,2005,63.41,66692.3,110.9
Владимирская область,2005,63.28,86926.8,112.3
Воронежская область,2005,66.24,133586.6,109.6
Ивановская область,2005,62.11,44415.4,113.2
Калужская область,2005,64.26,70953.9,110.1
Костромская область,2005,62.66,44684.7,113.5
Курская область,2005,64.99,86624.9,100.4
Липецкая область,2005,66.02,145194.4,112.3
Московская область,2005,65.68,708062.1,113.2
Орловская область,2005,65.09,53181.9,110.7
Рязанская область,2005,64.03,84382.7,109.9
Смоленская область,2005,61.97,65525.6,108.3
Тамбовская область,2005,65.49,63614.8,108.3
Тверская область,2005,61.4,96897.4,106.9
Тульская область,2005,62.85,116221.2,108.8
Ярославская область,2005,63.98,131252.1,104.9
г. Москва,2005,71.36,4135154.6,121.0
Республика Карелия,2005,62.06,77124.8,112.9
Республика Коми,2005,62.27,171307.2,109.9
Архангельская область,2005,62.93,166433.4,111.8
Вологодская область,2005,63.11,193966.1,112.4
Калининградская область,2005,61.49,81837.6,108.4
Ленинградская область,2005,61.96,205416.9,111.3
Мурманская область,2005,63.82,132870.2,109.5
Новгородская область,2005,61.65,63848.3,111.6
Псковская область,2005,60.18,40582.9,113.0
г. Санкт-Петербург,2005,67.76,666392.8,111.8
Республика Адыгея,2005,68.05,17029.1,107.1
Республика Калмыкия,2005,66.97,9685.7,109.5
Краснодарский край,2005,67.5,372929.8,109.2
Астраханская область,2005,64.83,70127.6,108.5
Волгоградская область,2005,67.02,203232.2,109.9
Ростовская область,2005,66.91,263051.5,107.6
Республика Дагестан,2005,73.29,90442.6,108.9
Республика Ингушетия,2005,75.64,7419.3,117.8
Кабардино-Балкарская Республика,2005,69.3,36833.4,114.4
Карачаево-Черкесская Республика,2005,69.23,16724.3,110.8
Республика Северная Осетия - Алания,2005,69.62,31182.2,121.7
Ставропольский край,2005,67.72,146569.3,106.1
Республика Башкортостан,2005,66.54,381646.5,108.5
Республика Марий Эл,2005,63.41,33350.7,118.0
Республика Мордовия,2005,66.58,44267.0,111.5
Республика Татарстан,2005,67.95,482759.2,116.1
Удмуртская Республика,2005,64.34,139995.3,111.0
Чувашская Республика,2005,66.38,69391.6,113.5
Кировская область,2005,64.19,79800.6,110.9
Нижегородская область,2005,63.41,299723.7,109.0
Оренбургская область,2005,65.0,213138.2,115.9
Пензенская область,2005,65.5,74362.7,117.1
Самарская область,2005,65.85,401812.2,109.9
Саратовская область,2005,65.9,170930.5,114.1
Ульяновская область,2005,65.24,80584.4,107.4
Курганская область,2005,64.17,50245.8,112.2
Свердловская область,2005,64.55,475575.5,111.1
Тюменская область,2005,66.76,2215584.4,105.2
Челябинская область,2005,64.77,349957.2,111.4
Республика Алтай,2005,60.42,8805.8,111.2
Республика Тыва,2005,56.01,11662.5,112.7
Республика Хакасия,2005,61.2,41727.5,111.8
Алтайский край,2005,64.72,135686.4,106.4
Красноярский край,2005,63.11,439736.9,108.8
Иркутская область,2005,60.43,258095.5,113.7
Кемеровская область,2005,61.56,295378.4,115.1
Новосибирская область,2005,65.06,235381.8,110.1
Омская область,2005,65.17,220686.1,115.3
Томская область,2005,65.0,159578.5,107.3
Республика Бурятия,2005,60.9,74912.9,107.7
Республика Саха (Якутия),2005,64.7,183027.0,106.2
Приморский край,2005,62.83,186623.3,112.0
Хабаровский край,2005,61.89,161194.4,111.0
Амурская область,2005,60.34,76861.2,112.7
Магаданская область,2005,62.59,27167.8,117.9
Сахалинская область,2005,60.58,121014.1,113.8
Еврейская автономная область,2005,59.34,14204.2,108.9
Чукотский автономный округ,2005,58.09,12355.4,110.2
Белгородская область,2006,69.27,178846.1,112.5
Брянская область,2006,65.3,82100.4,112.1
Владимирская область,2006,64.44,112841.7,111.1
Воронежская область,2006,67.11,166176.5,114.2
Ивановская область,2006,64.49,55090.0,112.6
Калужская область,2006,66.03,86150.5,110.1
Костромская область,2006,64.62,54351.1,112.4
Курская область,2006,66.06,104035.7,114.3
Липецкая область,2006,66.73,179057.3,112.6
Московская область,2006,66.4,934328.9,117.9
Орловская область,2006,66.39,64801.6,115.5
Рязанская область,2006,65.23,105491.9,113.5
Смоленская область,2006,63.01,79043.4,109.3
Тамбовская область,2006,66.84,79766.2,113.6
Тверская область,2006,62.85,127363.8,114.0
Тульская область,2006,64.23,142240.1,112.6
Ярославская область,2006,66.11,153251.5,109.8
г. Москва,2006,71.81,5260232.8,114.2
Республика Карелия,2006,63.79,84228.3,112.1
Республика Коми,2006,64.21,218490.7,110.2
Архангельская область,2006,64.84,215932.7,108.9
Вологодская область,2006,65.36,201939.2,109.1
Калининградская область,2006,64.13,103138.7,132.7
Ленинградская область,2006,63.06,265260.4,108.0
Мурманская область,2006,65.17,158127.0,111.8
Новгородская область,2006,62.66,74923.8,116.2
Псковская область,2006,61.22,51464.9,110.1
г. Санкт-Петербург,2006,68.9,825102.3,117.3
Республика Адыгея,2006,68.27,21132.4,114.4
Республика Калмыкия,2006,67.52,12844.1,109.9
Краснодарский край,2006,68.74,483950.7,113.0
Астраханская область,2006,66.14,85112.1,105.7
Волгоградская область,2006,67.84,252142.7,113.7
Ростовская область,2006,67.61,340012.5,115.7
Республика Дагестан,2006,73.35,124153.5,113.6
