,region,year,opzh,vrp,real_wage_index,unemployment_rate,living_wage,capture_mass_level,emissions_mass_level,hospital_beds,doctors,lag_opzh
569,Московская область,2005,65.68,708062.1,113.2,3.3,3227.0,1032.0,167.0,110.5,34.7,62.301428571428566
716,Орловская область,2005,65.09,53181.9,110.7,6.1,2333.0,5.0,13.0,118.9,37.6,63.12
1157,Рязанская область,2005,64.03,84382.7,109.9,5.3,2495.0,454.0,141.0,118.7,53.3,63.120000000000005
1262,Смоленская область,2005,61.97,65525.6,108.3,7.8,2510.0,146.0,34.0,125.3,59.7,64.315
1304,Тамбовская область,2005,65.49,63614.8,108.3,8.5,2303.0,10.0,27.0,122.4,33.7,64.31333333333332
1325,Тверская область,2005,61.4,96897.4,106.9,5.9,2720.0,19.0,43.0,124.8,51.6,0.0
1367,Тульская область,2005,62.85,116221.2,108.8,5.0,2478.0,425.0,148.0,138.4,33.9,67.04
1535,Ярославская область,2005,63.98,131252.1,104.9,4.0,2633.0,60.0,93.0,131.2,58.1,63.84333333333333
1556,г. Москва,2005,71.36,4135154.6,121.0,0.8,4171.0,87.0,89.0,96.0,72.7,65.55166666666668
947,Республика Карелия,2005,62.06,77124.8,112.9,8.8,3216.0,154.0,129.0,120.9,50.5,64.11749999999999
968,Республика Коми,2005,62.27,171307.2,109.9,11.5,3750.0,323.0,671.0,115.4,45.0,63.932
44,Архангельская область,2005,62.93,166433.4,111.8,5.5,3574.0,942.0,314.0,122.5,53.2,65.315
170,Вологодская область,2005,63.11,193966.1,112.4,5.2,3011.0,1636.0,478.0,116.8,35.3,65.54999999999998
296,Калининградская область,2005,61.49,81837.6,108.4,6.6,3221.0,5.0,28.0,105.0,35.7,62.69666666666666
506,Ленинградская область,2005,61.96,205416.9,111.3,7.4,2829.0,740.0,209.0,88.8,30.6,65.398
590,Мурманская область,2005,63.82,132870.2,109.5,8.8,4820.0,1818.0,301.0,115.9,50.1,65.44400000000002
632,Новгородская область,2005,61.65,63848.3,111.6,5.8,2825.0,88.0,55.0,128.2,39.2,65.54833333333333
779,Псковская область,2005,60.18,40582.9,113.0,6.6,2471.0,5.0,17.0,133.2,34.7,63.64
1577,г. Санкт-Петербург,2005,67.76,666392.8,111.8,2.2,3259.0,63.0,53.0,97.6,80.0,62.955
800,Республика Адыгея,2005,68.05,17029.1,107.1,12.9,2540.0,6.0,2.0,111.1,37.6,66.38
926,Республика Калмыкия,2005,66.97,9685.7,109.5,18.0,2340.0,0.4,3.0,133.8,48.7,63.31625
422,Краснодарский край,2005,67.5,372929.8,109.2,7.5,2739.0,550.0,113.0,96.0,42.3,65.1575
65,Астраханская область,2005,64.83,70127.6,108.5,12.0,2528.0,22.0,131.0,117.2,65.7,67.965
149,Волгоградская область,2005,67.02,203232.2,109.9,6.8,2460.0,378.0,221.0,119.4,48.1,64.96333333333334
1136,Ростовская область,2005,66.91,263051.5,107.6,8.6,2648.0,720.0,146.0,100.6,37.5,63.90400000000001
884,Республика Дагестан,2005,73.29,90442.6,108.9,22.3,2227.0,2.0,27.0,66.9,37.4,63.178
905,Республика Ингушетия,2005,75.64,7419.3,117.8,64.9,2568.0,0.2,1.0,46.6,27.0,63.462
275,Кабардино-Балкарская Республика,2005,69.3,36833.4,114.4,23.4,2231.0,2.0,2.0,103.7,44.1,62.83
338,Карачаево-Черкесская Республика,2005,69.23,16724.3,110.8,13.6,2347.0,219.0,16.0,97.2,33.1,64.4
1052,Республика Северная Осетия - Алания,2005,69.62,31182.2,121.7,8.8,2091.0,235.0,6.0,101.6,66.1,62.93
1283,Ставропольский край,2005,67.72,146569.3,106.1,7.0,2594.0,72.0,75.0,88.6,44.9,67.2975
842,Республика Башкортостан,2005,66.54,381646.5,108.5,7.1,2390.0,836.0,411.0,96.4,41.7,63.36000000000001
989,Республика Марий Эл,2005,63.41,33350.7,118.0,9.9,2305.0,7.0,29.0,124.7,34.1,63.605
1010,Республика Мордовия,2005,66.58,44267.0,111.5,7.0,2454.0,485.0,37.0,125.7,51.4,63.725
1073,Республика Татарстан,2005,67.95,482759.2,116.1,6.7,2460.0,311.0,240.0,107.1,44.9,65.85
1409,Удмуртская Республика,2005,64.34,139995.3,111.0,7.8,2463.0,35.0,143.0,125.1,56.9,65.094
1493,Чувашская Республика,2005,66.38,69391.6,113.5,11.4,2236.0,44.0,38.0,112.2,47.6,65.2925
380,Кировская область,2005,64.19,79800.6,110.9,7.1,2717.0,97.0,91.0,150.2,46.3,62.18
611,Нижегородская область,2005,63.41,299723.7,109.0,6.0,2738.0,241.0,167.0,128.5,44.5,63.8175
695,Оренбургская область,2005,65.0,213138.2,115.9,9.4,2431.0,796.0,906.0,127.1,50.2,66.882
737,Пензенская область,2005,65.5,74362.7,117.1,6.5,2497.0,38.0,24.0,104.9,37.0,62.34833333333333
1178,Самарская область,2005,65.85,401812.2,109.9,5.3,3152.0,487.0,321.0,87.0,48.2,65.51666666666667
1199,Саратовская область,2005,65.9,170930.5,114.1,9.1,2634.0,380.0,182.0,105.5,52.7,63.70374999999999
1430,Ульяновская область,2005,65.24,80584.4,107.4,7.7,2530.0,182.0,35.0,96.4,35.5,64.07600000000001
464,Курганская область,2005,64.17,50245.8,112.2,11.3,2630.0,16.0,61.0,115.3,27.7,66.8575
1241,Свердловская область,2005,64.55,475575.5,111.1,6.7,2861.0,8361.0,1177.0,109.1,42.4,64.21000000000001
1388,Тюменская область,2005,66.76,2215584.4,105.2,6.7,2727.0,45.0,4179.0,99.1,49.0,65.66
1472,Челябинская область,2005,64.77,349957.2,111.4,5.4,2571.0,4363.0,880.0,120.1,40.5,64.4825
821,Республика Алтай,2005,60.42,8805.8,111.2,10.0,3016.0,2.0,13.0,117.5,38.9,66.16
1094,Республика Тыва,2005,56.01,11662.5,112.7,21.8,3105.0,41.0,24.0,170.9,42.8,0.0
1115,Республика Хакасия,2005,61.2,41727.5,111.8,8.9,2899.0,229.0,96.0,108.4,37.8,63.822
2,Алтайский край,2005,64.72,135686.4,106.4,9.0,2375.0,787.0,233.0,117.7,46.7,65.132
443,Красноярский край,2005,63.11,439736.9,108.8,9.0,3250.0,9600.0,2543.0,113.6,50.3,64.81714285714287
254,Иркутская область,2005,60.43,258095.5,113.7,10.0,2948.0,2589.0,502.0,124.5,47.5,66.03
359,Кемеровская область,2005,61.56,295378.4,115.1,8.6,2673.0,4829.0,1282.0,104.4,47.0,65.96833333333333
653,Новосибирская область,2005,65.06,235381.8,110.1,7.8,3005.0,963.0,213.0,131.8,61.7,66.264
674,Омская область,2005,65.17,220686.1,115.3,8.6,2898.0,1577.0,202.0,121.4,55.8,66.462
1346,Томская область,2005,65.0,159578.5,107.3,10.5,3212.0,247.0,281.0,125.0,67.3,63.6925
863,Республика Бурятия,2005,60.9,74912.9,107.7,12.0,3372.0,384.0,87.0,105.7,38.6,64.83333333333334
1031,Республика Саха (Якутия),2005,64.7,183027.0,106.2,8.9,4851.0,328.0,163.0,152.6,49.3,65.345
758,Приморский край,2005,62.83,186623.3,112.0,8.0,3970.0,2698.0,260.0,96.1,53.5,64.696
1451,Хабаровский край,2005,61.89,161194.4,111.0,5.7,4331.0,957.0,145.0,110.6,60.5,64.035
