region,year,living_wage
Республика Тыва,2007,4019.0
Республика Хакасия,2007,3723.0
Алтайский край,2007,3561.0
Красноярский край,2007,4178.0
Иркутская область,2007,3940.0
Кемеровская область,2007,3565.0
Новосибирская область,2007,4210.0
Омская область,2007,3929.0
Томская область,2007,4131.0
Республика Саха (Якутия),2007,6733.0
Приморский край,2007,5111.0
Хабаровский край,2007,5443.0
Амурская область,2007,5026.0
Магаданская область,2007,6276.0
Сахалинская область,2007,6606.0
Еврейская автономная область,2007,4674.0
Чукотский автономный округ,2007,
Белгородская область,2008,3839.0
Брянская область,2008,3983.0
Владимирская область,2008,4545.0
Воронежская область,2008,4180.0
Ивановская область,2008,4252.0
Калужская область,2008,4234.0
Костромская область,2008,4323.0
Курская область,2008,4042.0
Липецкая область,2008,4137.0
Московская область,2008,5170.0
Орловская область,2008,3743.0
Рязанская область,2008,4383.0
Смоленская область,2008,4474.0
Тамбовская область,2008,3493.0
Тверская область,2008,4470.0
Тульская область,2008,4354.0
Ярославская область,2008,4701.0
г. Москва,2008,6648.0
Республика Карелия,2008,5381.0
Республика Коми,2008,6198.0
Архангельская область,2008,5661.0
Вологодская область,2008,4851.0
Калининградская область,2008,4995.0
Ленинградская область,2008,4400.0
Мурманская область,2008,6960.0
Новгородская область,2008,4617.0
Псковская область,2008,4247.0
г. Санкт-Петербург,2008,4901.0
Республика Адыгея,2008,4102.0
Республика Калмыкия,2008,3700.0
Краснодарский край,2008,4458.0
Астраханская область,2008,4221.0
Волгоградская область,2008,4301.0
Ростовская область,2008,4339.0
Республика Дагестан,2008,3648.0
Республика Ингушетия,2008,3986.0
Кабардино-Балкарская Республика,2008,3538.0
Карачаево-Черкесская Республика,2008,3640.0
Республика Северная Осетия - Алания,2008,3570.0
Ставропольский край,2008,4331.0
Республика Башкортостан,2008,3974.0
Республика Марий Эл,2008,3933.0
Республика Мордовия,2008,3867.0
Республика Татарстан,2008,3846.0
Удмуртская Республика,2008,4065.0
Чувашская Республика,2008,3981.0
Кировская область,2008,4344.0
Нижегородская область,2008,4713.0
Оренбургская область,2008,4033.0
Пензенская область,2008,4072.0
Самарская область,2008,4984.0
Саратовская область,2008,4203.0
Ульяновская область,2008,4074.0
Курганская область,2008,4249.0
Свердловская область,2008,4714.0
Тюменская область,2008,4717.0
Челябинская область,2008,4320.0
Республика Алтай,2008,5512.0
Республика Бурятия,2008,4647.0
Республика Тыва,2008,4581.0
Республика Хакасия,2008,4448.0
Алтайский край,2008,4510.0
Красноярский край,2008,5232.0
Иркутская область,2008,4743.0
Кемеровская область,2008,4099.0
Новосибирская область,2008,4927.0
Омская область,2008,4528.0
Томская область,2008,4812.0
Республика Саха (Якутия),2008,7516.0
Приморский край,2008,6071.0
Хабаровский край,2008,6902.0
Амурская область,2008,5688.0
Магаданская область,2008,7506.0
Сахалинская область,2008,7531.0
Еврейская автономная область,2008,5386.0
Чукотский автономный округ,2008,
Белгородская область,2009,4172.0
Брянская область,2009,4311.0
Владимирская область,2009,4973.0
Воронежская область,2009,4924.0
Ивановская область,2009,4642.0
Калужская область,2009,4583.0
Костромская область,2009,4789.0
Курская область,2009,4493.0
Липецкая область,2009,4563.0
Московская область,2009,5850.0
Орловская область,2009,4145.0
Рязанская область,2009,4868.0
Смоленская область,2009,4977.0
Тамбовская область,2009,3805.0
Тверская область,2009,4968.0
Тульская область,2009,4752.0
Ярославская область,2009,5113.0
г. Москва,2009,7406.0
Республика Карелия,2009,5990.0
Республика Коми,2009,6798.0
Архангельская область,2009,6210.0
Вологодская область,2009,5270.0
Калининградская область,2009,5209.0
Ленинградская область,2009,4843.0
Мурманская область,2009,7579.0
Новгородская область,2009,4924.0
Псковская область,2009,4603.0
г. Санкт-Петербург,2009,5232.0
Республика Адыгея,2009,4393.0
Республика Калмыкия,2009,4311.0
Краснодарский край,2009,5253.0
Астраханская область,2009,4598.0
Волгоградская область,2009,4647.0
Ростовская область,2009,4744.0
Республика Дагестан,2009,4066.0
Республика Ингушетия,2009,4439.0
Кабардино-Балкарская Республика,2009,3847.0
Карачаево-Черкесская Республика,2009,4119.0
Республика Северная Осетия - Алания,2009,3895.0
Ставропольский край,2009,4820.0
Республика Башкортостан,2009,4274.0
Республика Марий Эл,2009,4292.0
Республика Мордовия,2009,4228.0
Республика Татарстан,2009,4101.0
Удмуртская Республика,2009,4342.0
Чувашская Республика,2009,4215.0
Кировская область,2009,4746.0
Нижегородская область,2009,5040.0
Оренбургская область,2009,4445.0
Пензенская область,2009,4341.0
Самарская область,2009,5408.0
Саратовская область,2009,4488.0
Ульяновская область,2009,4414.0
Курганская область,2009,4589.0
Свердловская область,2009,5201.0
Тюменская область,2009,5297.0
Челябинская область,2009,4595.0
Республика Алтай,2009,6670.0
Республика Бурятия,2009,4968.0
Республика Тыва,2009,5084.0
Республика Хакасия,2009,4890.0
Алтайский край,2009,5113.0
Красноярский край,2009,5889.0
Иркутская область,2009,5163.0
Кемеровская область,2009,4260.0
Новосибирская область,2009,5391.0
Омская область,2009,4869.0
Томская область,2009,5644.0
Республика Саха (Якутия),2009,8627.0
Приморский край,2009,6401.0
Хабаровский край,2009,7993.0
Амурская область,2009,6402.0
Магаданская область,2009,8638.0
Сахалинская область,2009,8362.0
Еврейская автономная область,2009,6116.0
Чукотский автономный округ,2009,
Белгородская область,2010,4777.0
Брянская область,2010,4933.0
Владимирская область,2010,5774.0
Воронежская область,2010,5594.0
Ивановская область,2010,5440.0
Калужская область,2010,5256.0
Костромская область,2010,5668.0
Курская область,2010,5120.0
Липецкая область,2010,5276.0
Московская область,2010,6585.0
Орловская область,2010,4813.0
Рязанская область,2010,5669.0
Смоленская область,2010,5817.0
Тамбовская область,2010,4199.0
Тверская область,2010,5633.0
Тульская область,2010,5374.0
Ярославская область,2010,5386.0
г. Москва,2010,8656.0
Республика Карелия,2010,6754.0
Республика Коми,2010,7556.0
Архангельская область,2010,7308.0
Вологодская область,2010,6066.0
Калининградская область,2010,5729.0
Ленинградская область,2010,5380.0
Мурманская область,2010,8432.0
Новгородская область,2010,5569.0
Псковская область,2010,5254.0
г. Санкт-Петербург,2010,5773.0
Республика Адыгея,2010,4914.0
Республика Калмыкия,2010,4956.0
Краснодарский край,2010,5737.0
Астраханская область,2010,5209.0
Волгоградская область,2010,5583.0
Ростовская область,2010,5442.0
Республика Дагестан,2010,4629.0
Республика Ингушетия,2010,4800.0
Кабардино-Балкарская Республика,2010,4726.0
Карачаево-Черкесская Республика,2010,4894.0
Республика Северная Осетия - Алания,2010,4776.0
Ставропольский край,2010,5539.0
Республика Башкортостан,2010,5255.0
Республика Марий Эл,2010,5098.0
Республика Мордовия,2010,5007.0
Республика Татарстан,2010,4733.0
Удмуртская Республика,2010,5090.0
Чувашская Республика,2010,5007.0
Кировская область,2010,5437.0
Нижегородская область,2010,5688.0
Оренбургская область,2010,5132.0
Пензенская область,2010,5163.0
Самарская область,2010,6191.0
Саратовская область,2010,5059.0
Ульяновская область,2010,5164.0
Курганская область,2010,5238.0
Свердловская область,2010,5946.0
Тюменская область,2010,5651.0
Челябинская область,2010,5234.0
Республика Алтай,2010,5612.0
Республика Бурятия,2010,5643.0
Республика Тыва,2010,5622.0
Республика Хакасия,2010,5434.0
Алтайский край,2010,5871.0
Красноярский край,2010,6557.0
Иркутская область,2010,5667.0
Кемеровская область,2010,4811.0
Новосибирская область,2010,6000.0
Омская область,2010,5028.0
Томская область,2010,6139.0
Республика Саха (Якутия),2010,9207.0
Приморский край,2010,6865.0
Хабаровский край,2010,8676.0
Амурская область,2010,7163.0
Магаданская область,2010,9236.0
Сахалинская область,2010,9084.0
Еврейская автономная область,2010,6752.0
Чукотский автономный округ,2010,
Белгородская область,2011,4959.0
Брянская область,2011,5128.0
Владимирская область,2011,5983.0
