region,year,emissions_mass_level
Тверская область,2009,54.0
Тульская область,2009,156.0
Ярославская область,2009,78.0
г. Москва,2009,60.0
Республика Карелия,2009,106.0
Республика Коми,2009,598.0
Архангельская область,2009,426.0
Вологодская область,2009,412.0
Калининградская область,2009,30.0
Ленинградская область,2009,215.0
Мурманская область,2009,281.0
Новгородская область,2009,38.0
Псковская область,2009,21.0
г. Санкт-Петербург,2009,51.0
Республика Адыгея,2009,3.0
Республика Калмыкия,2009,2.0
Краснодарский край,2009,150.0
Астраханская область,2009,103.0
Волгоградская область,2009,195.0
Ростовская область,2009,175.0
Республика Дагестан,2009,20.0
Республика Ингушетия,2009,1.0
Кабардино-Балкарская Республика,2009,3.0
Карачаево-Черкесская Республика,2009,19.0
Республика Северная Осетия - Алания,2009,4.0
Ставропольский край,2009,64.0
Республика Башкортостан,2009,398.0
Республика Марий Эл,2009,37.0
Республика Мордовия,2009,33.0
Республика Татарстан,2009,268.0
Удмуртская Республика,2009,94.0
Чувашская Республика,2009,36.0
Кировская область,2009,109.0
Нижегородская область,2009,161.0
Оренбургская область,2009,647.0
Пензенская область,2009,22.0
Самарская область,2009,289.0
Саратовская область,2009,121.0
Ульяновская область,2009,31.0
Курганская область,2009,58.0
Свердловская область,2009,1138.0
Тюменская область,2009,3268.0
Челябинская область,2009,798.0
Республика Алтай,2009,10.0
Республика Бурятия,2009,96.0
Республика Тыва,2009,20.0
Республика Хакасия,2009,96.0
Алтайский край,2009,197.0
Красноярский край,2009,2446.0
Иркутская область,2009,560.0
Кемеровская область,2009,1408.0
Новосибирская область,2009,233.0
Омская область,2009,214.0
Томская область,2009,360.0
Республика Саха (Якутия),2009,194.0
Приморский край,2009,226.0
Хабаровский край,2009,114.0
Амурская область,2009,116.0
Магаданская область,2009,24.0
Сахалинская область,2009,116.0
Еврейская автономная область,2009,19.0
Чукотский автономный округ,2009,25.0
Белгородская область,2010,132.0
Брянская область,2010,35.0
Владимирская область,2010,35.0
Воронежская область,2010,77.0
Ивановская область,2010,37.0
Калужская область,2010,12.0
Костромская область,2010,54.0
Курская область,2010,41.0
Липецкая область,2010,368.0
Московская область,2010,205.0
Орловская область,2010,23.0
Рязанская область,2010,134.0
Смоленская область,2010,48.0
Тамбовская область,2010,46.0
Тверская область,2010,60.0
Тульская область,2010,167.0
Ярославская область,2010,81.0
г. Москва,2010,63.0
Республика Карелия,2010,108.0
Республика Коми,2010,595.0
Архангельская область,2010,545.0
Вологодская область,2010,474.0
Калининградская область,2010,29.0
Ленинградская область,2010,226.0
Мурманская область,2010,288.0
Новгородская область,2010,46.0
Псковская область,2010,22.0
г. Санкт-Петербург,2010,57.0
Республика Адыгея,2010,4.0
Республика Калмыкия,2010,3.0
Краснодарский край,2010,139.0
Астраханская область,2010,125.0
Волгоградская область,2010,201.0
Ростовская область,2010,176.0
Республика Дагестан,2010,18.0
Республика Ингушетия,2010,1.0
Кабардино-Балкарская Республика,2010,3.0
Карачаево-Черкесская Республика,2010,20.0
Республика Северная Осетия - Алания,2010,6.0
Ставропольский край,2010,66.0
Республика Башкортостан,2010,388.0
Республика Марий Эл,2010,33.0
Республика Мордовия,2010,34.0
Республика Татарстан,2010,263.0
Удмуртская Республика,2010,101.0
Чувашская Республика,2010,31.0
Кировская область,2010,102.0
Нижегородская область,2010,156.0
Оренбургская область,2010,617.0
Пензенская область,2010,22.0
Самарская область,2010,308.0
Саратовская область,2010,95.0
Ульяновская область,2010,39.0
Курганская область,2010,55.0
Свердловская область,2010,1169.0
Тюменская область,2010,3132.0
Челябинская область,2010,749.0
Республика Алтай,2010,6.0
Республика Бурятия,2010,95.0
Республика Тыва,2010,23.0
Республика Хакасия,2010,96.0
Алтайский край,2010,207.0
Красноярский край,2010,2491.0
Иркутская область,2010,597.0
Кемеровская область,2010,1411.0
Новосибирская область,2010,228.0
Омская область,2010,230.0
Томская область,2010,345.0
Республика Саха (Якутия),2010,161.0
Приморский край,2010,233.0
Хабаровский край,2010,117.0
Амурская область,2010,119.0
Магаданская область,2010,25.0
Сахалинская область,2010,100.0
Еврейская автономная область,2010,23.0
Чукотский автономный округ,2010,22.0
Белгородская область,2011,134.0
Брянская область,2011,37.0
Владимирская область,2011,35.0
Воронежская область,2011,72.0
Ивановская область,2011,37.0
Калужская область,2011,13.0
Костромская область,2011,50.0
Курская область,2011,42.0
Липецкая область,2011,345.0
Московская область,2011,192.0
Орловская область,2011,23.0
Рязанская область,2011,122.0
Смоленская область,2011,48.0
Тамбовская область,2011,48.0
Тверская область,2011,67.0
Тульская область,2011,193.0
Ярославская область,2011,78.0
г. Москва,2011,61.0
Республика Карелия,2011,96.0
Республика Коми,2011,712.0
Архангельская область,2011,373.0
Вологодская область,2011,469.0
Калининградская область,2011,25.0
Ленинградская область,2011,216.0
Мурманская область,2011,263.0
Новгородская область,2011,42.0
Псковская область,2011,28.0
г. Санкт-Петербург,2011,69.0
Республика Адыгея,2011,4.0
Республика Калмыкия,2011,4.0
Краснодарский край,2011,161.0
Астраханская область,2011,132.0
Волгоградская область,2011,178.0
Ростовская область,2011,154.0
Республика Дагестан,2011,17.0
Республика Ингушетия,2011,0.1
Кабардино-Балкарская Республика,2011,2.0
Карачаево-Черкесская Республика,2011,25.0
Республика Северная Осетия - Алания,2011,4.0
Ставропольский край,2011,68.0
Республика Башкортостан,2011,406.0
Республика Марий Эл,2011,29.0
Республика Мордовия,2011,34.0
Республика Татарстан,2011,278.0
Удмуртская Республика,2011,104.0
Чувашская Республика,2011,28.0
Кировская область,2011,99.0
Нижегородская область,2011,142.0
Оренбургская область,2011,658.0
Пензенская область,2011,37.0
Самарская область,2011,292.0
Саратовская область,2011,109.0
Ульяновская область,2011,42.0
Курганская область,2011,47.0
Свердловская область,2011,1091.0
Тюменская область,2011,3293.0
Челябинская область,2011,694.0
Республика Алтай,2011,9.0
Республика Бурятия,2011,90.0
Республика Тыва,2011,19.0
Республика Хакасия,2011,90.0
Алтайский край,2011,204.0
Красноярский край,2011,2517.0
Иркутская область,2011,621.0
Кемеровская область,2011,1390.0
Новосибирская область,2011,234.0
Омская область,2011,236.0
Томская область,2011,379.0
Республика Саха (Якутия),2011,157.0
Приморский край,2011,225.0
Хабаровский край,2011,113.0
Амурская область,2011,134.0
Магаданская область,2011,25.0
Сахалинская область,2011,92.0
Еврейская автономная область,2011,25.0
Чукотский автономный округ,2011,22.0
Белгородская область,2012,134.0
Брянская область,2012,39.0
Владимирская область,2012,32.0
Воронежская область,2012,79.0
Ивановская область,2012,29.0
Калужская область,2012,13.0
Костромская область,2012,52.0
Курская область,2012,41.0
Липецкая область,2012,339.0
Московская область,2012,189.0
Орловская область,2012,11.0
Рязанская область,2012,124.0
Смоленская область,2012,46.0
Тамбовская область,2012,52.0
Тверская область,2012,63.0
Тульская область,2012,198.0
Ярославская область,2012,77.0
г. Москва,2012,72.0
Республика Карелия,2012,107.0
Республика Коми,2012,688.0
Архангельская область,2012,271.0
Вологодская область,2012,473.0
Калининградская область,2012,25.0
Ленинградская область,2012,229.0
Мурманская область,2012,259.0
Новгородская область,2012,45.0
Псковская область,2012,28.0
г. Санкт-Петербург,2012,69.0
Республика Адыгея,2012,6.0
Республика Калмыкия,2012,4.0
Краснодарский край,2012,216.0
Астраханская область,2012,134.0
Волгоградская область,2012,171.0
Ростовская область,2012,200.0
Республика Дагестан,2012,18.0
Республика Ингушетия,2012,0.2
Кабардино-Балкарская Республика,2012,3.0
Карачаево-Черкесская Республика,2012,22.0
Республика Северная Осетия - Алания,2012,4.0
Ставропольский край,2012,69.0
Республика Башкортостан,2012,403.0
Республика Марий Эл,2012,34.0
Республика Мордовия,2012,50.0
Республика Татарстан,2012,288.0
Удмуртская Республика,2012,172.0
Чувашская Республика,2012,33.0
Кировская область,2012,101.0
Нижегородская область,2012,146.0
Оренбургская область,2012,757.0
Пензенская область,2012,22.0
Самарская область,2012,276.0
Саратовская область,2012,128.0
