region,year,vrp
Чувашская Республика,2003,45133.1
Кировская область,2003,57795.8
Нижегородская область,2003,206926.0
Оренбургская область,2003,115824.6
Пензенская область,2003,48111.5
Самарская область,2003,256554.6
Саратовская область,2003,119909.0
Ульяновская область,2003,55184.3
Курганская область,2003,37046.2
Свердловская область,2003,284576.3
Тюменская область,2003,1117514.4
Челябинская область,2003,220185.2
Республика Алтай,2003,6903.9
Республика Тыва,2003,8121.2
Республика Хакасия,2003,28969.2
Алтайский край,2003,88733.3
Красноярский край,2003,272727.0
Иркутская область,2003,167927.1
Кемеровская область,2003,164903.1
Новосибирская область,2003,153798.9
Омская область,2003,115029.5
Томская область,2003,97084.3
Республика Бурятия,2003,52253.7
Республика Саха (Якутия),2003,132964.1
Приморский край,2003,119333.7
Хабаровский край,2003,116318.1
Амурская область,2003,53199.9
Магаданская область,2003,24325.9
Сахалинская область,2003,63139.2
Еврейская автономная область,2003,8564.6
Чукотский автономный округ,2003,13501.1
Белгородская область,2004,114409.3
Брянская область,2004,51003.4
Владимирская область,2004,74207.0
Воронежская область,2004,117197.6
Ивановская область,2004,40159.4
Калужская область,2004,57993.8
Костромская область,2004,37787.4
Курская область,2004,76506.1
Липецкая область,2004,141778.3
Московская область,2004,535204.4
Орловская область,2004,46042.3
Рязанская область,2004,69996.0
Смоленская область,2004,56113.9
Тамбовская область,2004,56775.0
Тверская область,2004,88081.5
Тульская область,2004,88119.6
Ярославская область,2004,112438.7
г. Москва,2004,2853272.4
Республика Карелия,2004,53964.1
Республика Коми,2004,131588.0
Архангельская область,2004,142564.7
Вологодская область,2004,161378.6
Калининградская область,2004,66552.1
Ленинградская область,2004,166445.0
Мурманская область,2004,124972.0
Новгородская область,2004,49242.3
Псковская область,2004,35816.0
г. Санкт-Петербург,2004,542359.2
Республика Адыгея,2004,12493.2
Республика Калмыкия,2004,8518.5
Краснодарский край,2004,313623.6
Астраханская область,2004,56710.9
Волгоградская область,2004,154337.7
Ростовская область,2004,221167.4
Республика Дагестан,2004,80712.4
Республика Ингушетия,2004,6210.4
Кабардино-Балкарская Республика,2004,29052.9
Карачаево-Черкесская Республика,2004,13127.2
Республика Северная Осетия - Алания,2004,24268.0
Ставропольский край,2004,122235.4
Республика Башкортостан,2004,310845.1
Республика Марий Эл,2004,30085.6
Республика Мордовия,2004,38334.9
Республика Татарстан,2004,391116.0
Удмуртская Республика,2004,100833.1
Чувашская Республика,2004,59573.8
Кировская область,2004,70706.2
Нижегородская область,2004,241230.4
Оренбургская область,2004,169876.7
Пензенская область,2004,59711.7
Самарская область,2004,327118.5
Саратовская область,2004,151636.9
Ульяновская область,2004,67501.0
Курганская область,2004,42470.6
Свердловская область,2004,364368.8
Тюменская область,2004,1536733.7
Челябинская область,2004,291179.9
Республика Алтай,2004,8516.7
Республика Тыва,2004,9838.5
Республика Хакасия,2004,33102.9
Алтайский край,2004,114840.5
Красноярский край,2004,365454.1
Иркутская область,2004,213244.2
Кемеровская область,2004,244462.0
Новосибирская область,2004,191826.7
Омская область,2004,192877.3
Томская область,2004,132439.3
Республика Бурятия,2004,63918.5
Республика Саха (Якутия),2004,153496.7
Приморский край,2004,152301.1
Хабаровский край,2004,133330.5
Амурская область,2004,64250.2
Магаданская область,2004,24612.3
Сахалинская область,2004,91729.6
Еврейская автономная область,2004,11230.9
Чукотский автономный округ,2004,12357.8
Белгородская область,2005,144987.8
Брянская область,2005,66692.3
Владимирская область,2005,86926.8
Воронежская область,2005,133586.6
Ивановская область,2005,44415.4
Калужская область,2005,70953.9
Костромская область,2005,44684.7
Курская область,2005,86624.9
Липецкая область,2005,145194.4
Московская область,2005,708062.1
Орловская область,2005,53181.9
Рязанская область,2005,84382.7
Смоленская область,2005,65525.6
Тамбовская область,2005,63614.8
Тверская область,2005,96897.4
Тульская область,2005,116221.2
Ярославская область,2005,131252.1
г. Москва,2005,4135154.6
Республика Карелия,2005,77124.8
Республика Коми,2005,171307.2
Архангельская область,2005,166433.4
Вологодская область,2005,193966.1
Калининградская область,2005,81837.6
Ленинградская область,2005,205416.9
Мурманская область,2005,132870.2
Новгородская область,2005,63848.3
Псковская область,2005,40582.9
г. Санкт-Петербург,2005,666392.8
Республика Адыгея,2005,17029.1
Республика Калмыкия,2005,9685.7
Краснодарский край,2005,372929.8
Астраханская область,2005,70127.6
Волгоградская область,2005,203232.2
Ростовская область,2005,263051.5
Республика Дагестан,2005,90442.6
Республика Ингушетия,2005,7419.3
Кабардино-Балкарская Республика,2005,36833.4
Карачаево-Черкесская Республика,2005,16724.3
Республика Северная Осетия - Алания,2005,31182.2
Ставропольский край,2005,146569.3
Республика Башкортостан,2005,381646.5
Республика Марий Эл,2005,33350.7
Республика Мордовия,2005,44267.0
Республика Татарстан,2005,482759.2
Удмуртская Республика,2005,139995.3
Чувашская Республика,2005,69391.6
Кировская область,2005,79800.6
Нижегородская область,2005,299723.7
Оренбургская область,2005,213138.2
Пензенская область,2005,74362.7
Самарская область,2005,401812.2
Саратовская область,2005,170930.5
Ульяновская область,2005,80584.4
Курганская область,2005,50245.8
Свердловская область,2005,475575.5
Тюменская область,2005,2215584.4
Челябинская область,2005,349957.2
Республика Алтай,2005,8805.8
Республика Тыва,2005,11662.5
Республика Хакасия,2005,41727.5
Алтайский край,2005,135686.4
Красноярский край,2005,439736.9
Иркутская область,2005,258095.5
Кемеровская область,2005,295378.4
Новосибирская область,2005,235381.8
Омская область,2005,220686.1
Томская область,2005,159578.5
Республика Бурятия,2005,74912.9
Республика Саха (Якутия),2005,183027.0
Приморский край,2005,186623.3
Хабаровский край,2005,161194.4
Амурская область,2005,76861.2
Магаданская область,2005,27167.8
Сахалинская область,2005,121014.1
Еврейская автономная область,2005,14204.2
Чукотский автономный округ,2005,12355.4
Белгородская область,2006,178846.1
Брянская область,2006,82100.4
Владимирская область,2006,112841.7
Воронежская область,2006,166176.5
Ивановская область,2006,55090.0
Калужская область,2006,86150.5
Костромская область,2006,54351.1
Курская область,2006,104035.7
Липецкая область,2006,179057.3
Московская область,2006,934328.9
Орловская область,2006,64801.6
Рязанская область,2006,105491.9
Смоленская область,2006,79043.4
Тамбовская область,2006,79766.2
Тверская область,2006,127363.8
Тульская область,2006,142240.1
