region,year,opzh,vrp,real_wage_index,unemployment_rate,living_wage,capture_mass_level,emissions_mass_level
г. Москва,2013,76.37,11814897.4,106.5,1.7,10965.0,52.0,66.0
Республика Карелия,2013,69.19,178636.2,103.9,8.2,8531.0,71.0,119.0
Республика Коми,2013,69.27,482329.9,103.8,7.1,9496.0,383.0,774.0
Архангельская область,2013,70.16,500095.1,107.0,6.1,10243.0,570.0,245.0
Вологодская область,2013,69.35,346227.6,104.4,6.1,7474.0,1247.0,499.0
Калининградская область,2013,70.51,275885.8,109.0,5.6,7026.0,9.0,21.0
Ленинградская область,2013,70.36,678718.3,105.1,4.3,6524.0,740.0,245.0
Мурманская область,2013,70.46,306578.7,104.6,7.2,10113.0,1634.0,270.0
Новгородская область,2013,67.67,178818.1,103.2,4.6,7166.0,112.0,45.0
Псковская область,2013,67.82,114676.2,100.6,7.0,7337.0,39.0,27.0
г. Санкт-Петербург,2013,74.22,2491423.3,104.8,1.5,7072.0,105.0,72.0
Республика Адыгея,2013,71.8,70862.3,107.8,7.9,6282.0,8.0,9.0
Республика Калмыкия,2013,71.35,41165.9,107.1,12.5,6823.0,0.3,7.0
Краснодарский край,2013,72.29,1662969.1,105.1,6.1,7155.0,1330.0,205.0
Астраханская область,2013,71.34,273917.1,109.6,7.5,6271.0,11.0,130.0
Волгоградская область,2013,71.42,607472.2,106.6,6.6,6676.0,228.0,173.0
Ростовская область,2013,71.39,917689.1,106.5,6.0,6988.0,1101.0,193.0
Республика Дагестан,2013,75.63,452882.2,116.4,11.6,6791.0,3.0,16.0
Республика Ингушетия,2013,78.84,45766.7,106.2,43.7,6803.0,0.0,0.6
Кабардино-Балкарская Республика,2013,73.71,110971.5,105.5,10.5,6573.0,2.0,2.0
Карачаево-Черкесская Республика,2013,73.94,66106.6,107.4,9.8,6625.0,307.0,21.0
Республика Северная Осетия - Алания,2013,73.94,118637.5,110.3,8.1,6496.0,126.0,5.0
Ставропольский край,2013,72.45,480905.3,105.2,5.6,6543.0,66.0,75.0
Республика Башкортостан,2013,69.63,1163219.0,103.4,5.8,6446.0,928.0,449.0
Республика Марий Эл,2013,69.3,125950.2,107.7,5.2,6198.0,7.0,27.0
Республика Мордовия,2013,70.56,148705.7,112.3,4.4,6260.0,707.0,36.0
Республика Татарстан,2013,72.12,1551472.1,104.9,4.0,6278.0,521.0,298.0
Удмуртская Республика,2013,69.92,405126.4,107.6,5.7,6375.0,41.0,172.0
Чувашская Республика,2013,70.79,223147.9,105.6,5.7,6049.0,9.0,29.0
Кировская область,2013,70.26,224152.3,105.9,5.6,6905.0,148.0,103.0
Нижегородская область,2013,69.42,925182.0,105.2,4.3,6488.0,110.0,126.0
Оренбургская область,2013,68.9,717014.7999999999,105.3,4.9,6131.0,532.0,513.0
Пензенская область,2013,71.54,270436.8,101.5,4.8,6057.0,31.0,28.0
Самарская область,2013,69.4,1048545.8,106.3,3.2,7482.0,434.0,261.0
Саратовская область,2013,70.67,526178.9,103.3,5.2,6126.0,483.0,99.0
Ульяновская область,2013,70.5,265288.7,105.1,5.5,6472.0,79.0,38.0
Курганская область,2013,68.27,167037.9,105.9,7.5,6509.0,62.0,55.0
Свердловская область,2013,69.81,1568655.2,102.1,5.9,7238.0,8975.0,1097.0
Тюменская область,2013,71.35,4950207.4,101.8,4.7,7716.0,65.0,2751.0
Челябинская область,2013,69.52,882339.6,107.9,6.0,6936.0,3794.0,667.0
Республика Алтай,2013,67.34,33313.5,106.4,11.5,6924.0,2.0,9.0
Республика Тыва,2013,61.79,41298.7,105.2,19.3,8137.0,15.0,19.0
Республика Хакасия,2013,68.57,141850.5,104.9,6.0,7101.0,184.0,90.0
Алтайский край,2013,69.77,416110.3,104.9,8.3,6561.0,558.0,201.0
Красноярский край,2013,69.06,1256934.1,104.0,5.7,8249.0,6443.0,2497.0
Иркутская область,2013,66.72,805197.5,105.3,8.3,7768.0,3544.0,686.0
Кемеровская область,2013,67.72,667950.5,100.5,6.0,6682.0,4512.0,1356.0
Новосибирская область,2013,70.19,817516.7,103.8,5.9,7764.0,959.0,196.0
Омская область,2013,69.74,551734.0,105.7,6.8,6302.0,1662.0,214.0
Томская область,2013,70.33,402562.1,103.8,7.6,7765.0,285.0,306.0
Республика Бурятия,2013,67.67,176888.9,104.9,8.0,7301.0,766.0,114.0
Республика Саха (Якутия),2013,69.13,570284.7000000001,110.0,7.4,11923.0,450.0,165.0
Приморский край,2013,68.19,577473.9,102.8,7.1,9649.0,1867.0,181.0
Хабаровский край,2013,67.92,498067.2,103.3,5.7,10182.0,487.0,114.0
Амурская область,2013,66.38,210700.9,105.8,6.1,9251.0,320.0,125.0
Магаданская область,2013,67.12,88905.9,105.1,2.9,14084.0,45.0,29.0
Сахалинская область,2013,67.7,671743.6,103.9,7.2,11083.0,107.0,77.0
Еврейская автономная область,2013,64.94,38428.7,101.2,8.3,9532.0,104.0,24.0
Чукотский автономный округ,2013,62.11,44466.9,106.5,3.3,,30.0,21.0
Белгородская область,2014,72.25,619677.7,100.086945586177,4.0,6842.0,702.0,127.0
Брянская область,2014,69.42,242722.4,100.88676917906164,5.0,7565.0,481.0,36.0
Владимирская область,2014,69.25,328064.2,98.38940924739056,4.3,7954.0,14.0,31.0
Воронежская область,2014,70.82,717667.2,100.98275265410534,4.5,7026.0,84.0,68.0
Ивановская область,2014,69.88,151876.8,99.60675743619444,4.3,8170.0,53.0,33.0
Калужская область,2014,69.93,326459.5,100.3854987233703,4.2,7704.0,135.0,19.0
Костромская область,2014,70.05,146731.5,101.04475052013812,4.3,7668.0,26.0,49.0
Курская область,2014,70.11,298287.3,100.52031392869594,3.9,6754.0,37.0,36.0
Липецкая область,2014,70.6,398464.5,100.1237031750346,3.7,7062.0,1492.0,330.0
Московская область,2014,70.94,2742886.1,99.3,2.7,9150.0,990.0,197.0
Орловская область,2014,69.88,178822.5,99.77353152052716,5.1,7334.0,5.0,15.0
Рязанская область,2014,70.8,295611.7,101.42172074221769,4.4,7172.0,638.0,108.0
Смоленская область,2014,69.44,234710.1,99.80741009115856,5.1,8695.0,107.0,53.0
Тамбовская область,2014,71.11,285656.5,99.9,4.3,6850.0,15.0,45.0
Тверская область,2014,68.43,316613.2,97.46708505173216,5.3,8282.0,28.0,69.0
Тульская область,2014,69.63,411122.3,103.63908458884848,4.1,7579.0,525.0,181.0
Ярославская область,2014,70.64,391462.8,101.27146616436062,3.8,7300.0,49.0,88.0
г. Москва,2014,76.7,12779525.7,102.20930178287418,1.5,12542.0,58.0,68.0
Республика Карелия,2014,69.36,191192.1,99.38760942649058,8.1,9682.0,80.0,95.0
Республика Коми,2014,69.05,484166.5,98.9,6.0,10817.0,379.0,707.0
Архангельская область,2014,70.23,542695.3,100.9492412787044,7.2,11323.0,452.0,262.0
Вологодская область,2014,69.74,387211.7,98.25122985294696,5.6,8578.0,1111.0,491.0
Калининградская область,2014,70.28,314088.3,97.37961220169647,5.4,8021.0,11.0,19.0
Ленинградская область,2014,70.28,703325.6,100.4646012310448,4.5,6984.0,825.0,272.0
Мурманская область,2014,69.97,328291.8,100.3,6.7,11627.0,1804.0,276.0
Новгородская область,2014,68.41,209304.4,99.7,3.7,7915.0,127.0,43.0
Псковская область,2014,68.07,123825.6,98.16116801957004,6.5,8518.0,27.0,29.0
г. Санкт-Петербург,2014,74.57,2661210.0,101.9,1.4,8479.0,109.0,71.0
Республика Адыгея,2014,72.01,75622.5,100.79632222637588,8.6,7164.0,6.0,10.0
Республика Калмыкия,2014,72.03,46680.6,103.96642696638298,10.9,7750.0,0.4,5.0
Краснодарский край,2014,72.28,1784833.5,98.1,5.7,8027.0,1204.0,189.0
Астраханская область,2014,70.76,296319.3,100.682649338064,7.5,7120.0,6.0,118.0
Волгоградская область,2014,71.62,715409.6,101.0689220626674,6.6,7901.0,163.0,154.0
Ростовская область,2014,71.3,1007758.8,100.6,5.9,7967.0,1232.0,194.0
Республика Дагестан,2014,75.83,528131.3,102.457781638669,10.2,7453.0,1.0,13.0
Республика Ингушетия,2014,79.42,51908.2,99.17035000690056,29.8,7396.0,0.0,0.4
Кабардино-Балкарская Республика,2014,74.16,116886.0,102.21303620929623,9.5,7357.0,1.0,2.0
Карачаево-Черкесская Республика,2014,73.91,65326.6,103.10732238899531,13.0,7339.0,151.0,16.0
Республика Северная Осетия - Алания,2014,73.82,125960.5,101.9,8.6,7284.0,147.0,3.0
Ставропольский край,2014,72.75,540796.8,102.4,5.3,7154.0,65.0,79.0
Республика Башкортостан,2014,69.76,1260010.4,103.95478567554306,5.3,7234.0,936.0,459.0
Республика Марий Эл,2014,69.42,143396.1,103.12467825483203,4.8,7201.0,9.0,25.0
Республика Мордовия,2014,71.38,173872.7,104.2,4.2,6997.0,737.0,35.0
Республика Татарстан,2014,72.17,1661413.8,101.3,3.9,6988.0,427.0,294.0
Удмуртская Республика,2014,70.03,450548.9,104.2231620418256,5.1,7324.0,89.0,176.0
Чувашская Республика,2014,70.62,237447.2,99.95481662676814,5.0,6988.0,13.0,36.0
Кировская область,2014,70.59,254089.4,100.9,5.1,7641.0,243.0,115.0
Нижегородская область,2014,69.53,1009460.1,99.8,4.2,7454.0,95.0,126.0
Оренбургская область,2014,68.73,731277.7,101.30301122283612,4.4,6971.0,548.0,411.0
Пензенская область,2014,71.63,295238.7,100.9,4.6,6839.0,218.0,33.0
Самарская область,2014,69.63,1149147.8,102.36260517338486,3.0,7954.0,502.0,266.0
Саратовская область,2014,70.95,566646.1,99.10003374947723,4.6,6932.0,405.0,120.0
Ульяновская область,2014,70.37,278808.2,102.6,4.8,7298.0,86.0,34.0
Курганская область,2014,68.75,170310.3,101.11551252373796,7.0,7605.0,78.0,43.0
Свердловская область,2014,69.76,1659783.9,99.01205760860728,6.1,8025.0,8301.0,1021.0
Тюменская область,2014,71.5,5295348.5,100.29096913279044,4.7,8470.0,78.0,2181.0
Челябинская область,2014,69.71,993900.6,100.7,6.2,7944.0,3442.0,653.0
Республика Алтай,2014,67.76,39191.9,101.4636957526627,10.4,8175.0,2.0,8.0
Республика Тыва,2014,61.79,45947.9,103.84168048312432,19.1,8624.0,19.0,19.0
Республика Хакасия,2014,68.83,158372.8,104.21593199994462,6.2,8006.0,189.0,84.0
Алтайский край,2014,70.01,446023.8,99.9286539405896,7.2,7580.0,548.0,203.0
Красноярский край,2014,69.23,1410719.9,101.9522331325947,5.0,9186.0,6375.0,2356.0
Иркутская область,2014,66.87,916317.5,101.31856394613354,8.8,8629.0,3314.0,637.0
Кемеровская область,2014,67.8,752024.0,98.07805283313871,6.2,7569.0,4636.0,1332.0
Новосибирская область,2014,70.28,911219.0,99.81695944938774,5.1,8945.0,1047.0,208.0
Омская область,2014,70.13,602605.1,98.1034456940056,6.7,7253.0,1754.0,204.0
Томская область,2014,70.67,430266.8,99.9,7.6,8691.0,310.0,290.0
Республика Бурятия,2014,68.54,186492.9,98.58667389652194,8.4,8263.0,736.0,106.0
Республика Саха (Якутия),2014,69.81,658140.4,102.3,7.4,13332.0,430.0,307.0
Приморский край,2014,68.74,642423.0,100.83479870932206,6.9,10683.0,1856.0,190.0
Хабаровский край,2014,68.01,539338.4,100.6,5.9,11495.0,428.0,103.0
Амурская область,2014,67.0,232053.0,98.48988260195696,5.6,9539.0,330.0,132.0
Магаданская область,2014,67.19,96936.8,103.09609523804689,3.1,15415.0,45.0,30.0
Сахалинская область,2014,67.89,799165.4,104.8,6.5,12213.0,48.0,65.0
Еврейская автономная область,2014,65.2,41948.1,99.58958832616118,8.7,10870.0,33.0,18.0
Чукотский автономный округ,2014,62.32,57751.3,106.7,3.2,13571.0,27.0,18.0
Белгородская область,2015,72.61,693379.4,93.22115732697593,4.1,7918.0,639.0,118.0
Брянская область,2015,70.36,271782.5,88.96653921225351,4.6,8723.0,435.0,37.0
Владимирская область,2015,69.82,368489.2,91.02875102641195,5.6,8908.0,6.0,30.0
Воронежская область,2015,71.67,805969.6,89.09724106029937,4.5,7884.0,89.0,69.0
Ивановская область,2015,70.62,180517.5,87.9,5.6,9041.0,17.0,33.0
Калужская область,2015,70.73,339760.8,90.31731480856048,4.3,8958.0,148.0,26.0
Костромская область,2015,70.38,160579.8,90.1,5.3,8742.0,18.0,46.0
Курская область,2015,70.8,336999.4,89.8,4.2,7916.0,37.0,31.0
Липецкая область,2015,71.07,448994.3,92.07195947984098,4.1,8008.0,1496.0,328.0
Московская область,2015,72.26,3180924.6,91.13456736115508,3.3,10460.0,1227.0,221.0
Орловская область,2015,70.38,208237.9,89.29126003058452,6.2,8419.0,4.0,13.0
Рязанская область,2015,71.46,323131.8,90.03780428810498,4.7,8450.0,765.0,98.0
Смоленская область,2015,69.74,256706.8,90.8,6.2,9918.0,107.0,59.0
Тамбовская область,2015,71.67,317213.7,90.86989608642658,4.6,7834.0,18.0,56.0
Тверская область,2015,69.1,329616.0,89.33430840674079,5.6,9427.0,28.0,60.0
Тульская область,2015,70.06,477537.8,91.2602395730908,4.1,8626.0,494.0,149.0
Ярославская область,2015,70.98,443054.1,89.80206706445443,5.3,8315.0,51.0,91.0
г. Москва,2015,76.77,13520862.9,90.08727612092508,1.8,14413.0,42.0,63.0
Республика Карелия,2015,69.16,212049.5,91.42128472392304,8.8,11569.0,72.0,96.0
Республика Коми,2015,69.4,528403.4,89.2,7.0,12069.0,364.0,612.0
Архангельская область,2015,70.71,627698.1,92.66505375189722,6.8,12880.0,441.0,260.0
Вологодская область,2015,70.4,478893.0,89.02527677852964,6.8,9678.0,1326.0,461.0
Калининградская область,2015,70.58,349818.6,90.79616018360343,5.7,9630.0,26.0,20.0
Ленинградская область,2015,71.23,849616.6,92.2,5.1,8722.0,880.0,247.0
Мурманская область,2015,70.24,401582.7,92.0069543856615,7.8,13582.0,1789.0,276.0
Новгородская область,2015,68.7,234075.7,90.80537953396784,4.6,9221.0,129.0,70.0
Псковская область,2015,68.48,135239.5,87.78617673299983,6.9,10008.0,16.0,27.0
г. Санкт-Петербург,2015,74.42,3387417.7,92.4764822858451,2.1,10043.0,94.0,73.0
Республика Адыгея,2015,72.22,84306.0,91.7846133744548,8.8,8211.0,6.0,11.0
Республика Калмыкия,2015,72.15,51958.5,90.1549092371476,10.7,7934.0,0.3,3.0
Краснодарский край,2015,72.53,1933512.1,89.93617250350394,6.0,9261.0,1229.0,191.0
Астраханская область,2015,71.36,322303.0,89.85478503023842,7.5,8236.0,6.0,119.0
Волгоградская область,2015,71.98,740458.0,91.8066009298436,7.2,8669.0,213.0,160.0
Ростовская область,2015,71.9,1189144.0,91.26902416174704,6.1,9109.0,978.0,165.0
Республика Дагестан,2015,76.39,569297.3,90.1,10.8,8658.0,1.0,11.0
Республика Ингушетия,2015,80.05,50091.0,85.12823731206396,30.5,8567.0,,0.4
Кабардино-Балкарская Республика,2015,74.61,120528.8,88.26844679527731,10.1,9366.0,1.0,3.0
Карачаево-Черкесская Республика,2015,74.44,67482.7,89.0,15.1,8530.0,201.0,15.0
Республика Северная Осетия - Алания,2015,74.2,126051.2,90.90719032368108,9.3,8578.0,151.0,5.0
Ставропольский край,2015,73.36,621198.3,88.9,5.6,8027.0,61.0,85.0
Республика Башкортостан,2015,70.08,1316598.3,90.9,6.1,8428.0,945.0,435.0
Республика Марий Эл,2015,69.8,171689.5,92.7467167088397,5.3,7863.0,10.0,22.0
Республика Мордовия,2015,72.06,180352.3,94.80843652083692,4.2,7775.0,381.0,32.0
Республика Татарстан,2015,72.81,1867258.7,91.3348552669361,4.0,,437.0,294.0
Удмуртская Республика,2015,70.46,517999.8,92.0916412614812,5.0,8473.0,75.0,148.0
Чувашская Республика,2015,71.35,251307.0,89.61824631688778,5.0,8071.0,12.0,27.0
Кировская область,2015,71.11,282191.0,92.1,5.3,9276.0,194.0,96.0
Нижегородская область,2015,70.17,1104643.2,89.95902435691534,4.3,8382.0,169.0,133.0
Оренбургская область,2015,69.63,774962.1,92.0,4.8,8053.0,632.0,490.0
Пензенская область,2015,72.12,343328.6,90.7,4.7,8120.0,322.0,39.0
Самарская область,2015,70.35,1264910.3,89.91119660931311,3.4,8873.0,400.0,261.0
Саратовская область,2015,71.4,625176.9,89.4,4.7,7986.0,253.0,118.0
Ульяновская область,2015,70.46,304479.1,91.8322777732316,4.9,8528.0,82.0,33.0
Курганская область,2015,69.03,179436.3,89.12683257322064,7.5,8793.0,71.0,52.0
Свердловская область,2015,69.83,1822835.0,89.9,6.5,9670.0,8078.0,984.0
Тюменская область,2015,71.76,5851557.8,91.37673667031504,4.9,9692.0,159.0,2146.0
Челябинская область,2015,69.9,1209242.7,93.81391419458528,7.0,9038.0,3136.0,627.0
Республика Алтай,2015,68.44,42165.7,88.39998770425449,9.7,9260.0,2.0,8.0
Республика Тыва,2015,63.13,47289.6,90.50658783474064,18.6,9564.0,13.0,20.0
Республика Хакасия,2015,68.68,170413.1,91.2828621928856,5.8,8905.0,172.0,89.0
Алтайский край,2015,70.44,487903.3,89.95350087240817,8.0,8785.0,549.0,204.0
Красноярский край,2015,69.69,1667041.1,93.60305795731546,6.2,10598.0,6241.0,2476.0
Иркутская область,2015,67.37,1001717.6,91.29973255048488,8.2,9814.0,2488.0,639.0
Кемеровская область,2015,68.31,843345.4,92.00868545322793,7.7,8566.0,4683.0,1344.0
Новосибирская область,2015,70.86,1021642.9,90.36151347343232,6.9,10117.0,1034.0,185.0
Омская область,2015,70.41,618127.7,91.18053140220076,6.8,8338.0,1838.0,202.0
Томская область,2015,71.25,471456.7,92.73771392929416,7.7,10387.0,224.0,293.0
Республика Бурятия,2015,69.15,202823.4,89.44333609612815,9.2,9259.0,727.0,109.0
Республика Саха (Якутия),2015,70.29,747601.7,95.59772961704866,7.3,15515.0,478.0,287.0
Приморский край,2015,69.21,717609.9,90.24440509447464,6.9,12535.0,2022.0,193.0
Хабаровский край,2015,68.72,595792.3,88.800976540193,5.3,13427.0,485.0,116.0
Амурская область,2015,67.27,277380.4,88.00643649562994,5.8,11555.0,350.0,127.0
Магаданская область,2015,68.11,125798.3,92.82819661405684,4.3,17469.0,46.0,27.0
Сахалинская область,2015,67.99,837495.2,99.80918942036364,6.3,13533.0,39.0,72.0
Еврейская автономная область,2015,65.04,44554.8,91.49737139146038,7.9,12228.0,45.0,19.0
Чукотский автономный округ,2015,64.16,61735.5,96.2920142001314,4.0,16845.0,30.0,21.0
Белгородская область,2016,72.87,778027.8,100.78759192072695,4.0,8099.0,551.0,113.0
Брянская область,2016,70.92,316489.4,98.5445219576136,4.6,8971.0,425.0,39.0
Владимирская область,2016,70.28,431549.8,99.15194176188427,5.6,9092.0,7.0,33.0
Воронежская область,2016,72.08,827928.6,99.1456172961892,4.5,8121.0,88.0,73.0
Ивановская область,2016,70.77,205818.6,97.6,5.6,9373.0,10.0,27.0
Калужская область,2016,71.18,409462.3,98.2734521830966,4.2,9349.0,136.0,23.0
Костромская область,2016,70.87,170225.1,98.480404815508,5.5,9195.0,23.0,50.0
Курская область,2016,70.94,379011.3,98.35043021818424,4.3,8258.0,50.0,39.0
Липецкая область,2016,71.62,501263.5,100.37711360164458,4.0,8313.0,1438.0,320.0
Московская область,2016,72.5,4206506.0,96.3,3.3,11021.0,728.0,253.0
Орловская область,2016,70.73,228583.1,98.61740370099228,6.4,8739.0,6.0,21.0
Рязанская область,2016,71.87,366211.3,100.70017212514507,4.4,8658.0,570.0,99.0
Смоленская область,2016,69.98,283725.5,100.3862756816362,6.1,10074.0,112.0,58.0
Тамбовская область,2016,72.11,320623.4,97.93275717751578,4.5,8268.0,18.0,56.0
Тверская область,2016,69.24,397438.9,98.8488614324585,5.8,9590.0,25.0,63.0
Тульская область,2016,70.56,552308.4,99.70386783015326,4.1,9035.0,654.0,142.0
Ярославская область,2016,71.21,498880.3,98.69156251016452,6.7,8903.0,51.0,86.0
г. Москва,2016,77.08,15121534.2,102.9506245419298,1.8,15092.0,43.0,63.0
Республика Карелия,2016,69.78,248140.4,101.07558701924044,9.2,12007.0,92.0,116.0
Республика Коми,2016,69.45,578649.1,99.16622855115608,8.7,12128.0,355.0,569.0
Архангельская область,2016,70.82,713043.9,99.38586747028266,7.1,10944.0,436.0,245.0
Вологодская область,2016,70.24,509931.7,99.81339735725376,6.6,9980.0,1330.0,441.0
Калининградская область,2016,71.92,417094.9,97.080938033891,6.0,9948.0,20.0,21.0
Ленинградская область,2016,71.7,953668.3,99.32508311759084,4.6,9211.0,873.0,243.0
Мурманская область,2016,70.94,467006.5,99.24084317541572,7.7,13562.0,1832.0,232.0
Новгородская область,2016,69.15,253056.8,99.0,4.9,9751.0,103.0,46.0
Псковская область,2016,69.25,159206.1,97.0787792269399,6.7,10417.0,20.0,33.0
г. Санкт-Петербург,2016,74.9,4099939.7,103.02773318090578,1.6,10526.0,97.0,78.0
Республика Адыгея,2016,72.59,101102.7,97.69976892632737,9.0,8521.0,3.0,11.0
Республика Калмыкия,2016,73.35,69564.2,99.5,10.6,8372.0,0.5,2.0
Краснодарский край,2016,72.83,2257074.5,100.3,5.8,9603.0,1271.0,242.0
Астраханская область,2016,72.2,368485.4,101.4,7.6,8730.0,8.0,127.0
Волгоградская область,2016,72.49,825586.5,101.9,6.8,8794.0,162.0,161.0
Ростовская область,2016,72.2,1375107.4,100.107290765589,5.8,9414.0,978.0,169.0
Республика Дагестан,2016,77.23,617587.6,100.98608439826494,10.9,9076.0,0.0,14.0
Республика Ингушетия,2016,80.82,58141.5,99.28086797447988,30.2,8881.0,,1.0
Кабардино-Балкарская Республика,2016,75.12,152970.8,96.2,10.3,10183.0,0.5,4.0
Карачаево-Черкесская Республика,2016,74.72,78521.1,97.7,14.4,8815.0,267.0,17.0
Республика Северная Осетия - Алания,2016,75.05,148810.1,100.2,9.9,8896.0,180.0,5.0
Ставропольский край,2016,73.4,712594.5,99.10640030495884,5.7,8148.0,64.0,88.0
Республика Башкортостан,2016,71.0,1421517.6,102.29251151408978,5.8,8323.0,535.0,461.0
Республика Марий Эл,2016,70.75,170890.5,99.39158411569387,6.0,8682.0,8.0,36.0
Республика Мордовия,2016,72.25,223297.8,100.1,4.2,7776.0,361.0,41.0
Республика Татарстан,2016,73.64,2058139.9,98.27149312107744,3.8,8108.0,495.0,338.0
Удмуртская Республика,2016,70.86,570254.8,103.6978569546736,5.2,8594.0,173.0,147.0
Чувашская Республика,2016,71.52,284659.1,101.4749556410973,5.3,8346.0,9.0,25.0
Кировская область,2016,71.71,313533.8,99.7370395509724,5.4,9276.0,177.0,99.0
Нижегородская область,2016,70.75,1282751.7,101.2,4.3,8639.0,112.0,150.0
Оренбургская область,2016,70.57,814765.4,101.97838455133837,4.9,8242.0,644.0,512.0
Пензенская область,2016,72.53,358258.2,103.39625933988452,4.6,8398.0,39.0,44.0
Самарская область,2016,71.08,1364822.2,98.79594574500064,4.1,9664.0,302.0,253.0
Саратовская область,2016,72.07,700848.6,99.11550804067734,5.1,8168.0,317.0,110.0
Ульяновская область,2016,70.97,366954.7,100.4367248128072,4.6,8826.0,86.0,33.0
Курганская область,2016,69.43,202100.4,98.67257323809643,8.4,9142.0,70.0,42.0
Свердловская область,2016,70.02,2109619.1,98.02856715398504,6.2,9973.0,7402.0,906.0
Тюменская область,2016,72.33,6125961.8,98.41151009738778,4.6,9855.0,159.0,2292.0
Челябинская область,2016,70.5,1332761.4,97.76398162461425,7.1,8984.0,3284.0,597.0
Республика Алтай,2016,70.13,47434.9,103.62319999833828,12.0,9353.0,2.0,7.0
Республика Тыва,2016,64.21,58001.1,99.3,16.6,9775.0,13.0,92.0
Республика Хакасия,2016,69.33,207742.6,102.72246205427552,6.3,8958.0,177.0,213.0
Алтайский край,2016,70.74,532401.5,98.4,8.6,8708.0,576.0,2363.0
Красноярский край,2016,70.01,1821899.9,100.7662414445733,6.1,10821.0,6290.0,642.0
Иркутская область,2016,68.2,1139206.8,99.82589684517386,8.8,9862.0,2098.0,1349.0
Кемеровская область,2016,68.72,903348.9,99.70246950007042,7.9,8748.0,4234.0,201.0
Новосибирская область,2016,71.2,1074794.7,101.21071079653188,7.4,10225.0,1006.0,200.0
Омская область,2016,70.78,669480.4,97.6215240228913,7.2,8442.0,1736.0,301.0
Томская область,2016,71.66,521043.5,98.9,7.2,10262.0,197.0,1084.0
Республика Бурятия,2016,69.61,220764.6,99.51888929313856,9.6,9247.0,543.0,19.0
Республика Саха (Якутия),2016,70.84,889449.3,100.22072633069344,7.2,16080.0,479.0,257.0
Приморский край,2016,69.66,860803.6,99.14811672213716,6.0,12456.0,1917.0,186.0
Хабаровский край,2016,69.13,672660.4,97.8,5.0,12910.0,556.0,114.0
Амурская область,2016,68.28,297531.0,96.01540694964748,5.9,11374.0,385.0,135.0
Магаданская область,2016,69.0,153879.8,98.89235406820372,4.4,17764.0,49.0,31.0
Сахалинская область,2016,68.66,762510.3,100.0,6.3,13728.0,51.0,77.0
Еврейская автономная область,2016,65.88,48563.2,96.8170442592246,8.2,12574.0,59.0,19.0
Чукотский автономный округ,2016,64.42,72174.1,99.9,3.5,17775.0,26.0,21.0
Белгородская область,2017,73.67,837306.8,104.4790652385589,3.9,8281.0,623.0,117.0
Брянская область,2017,71.27,341177.8,103.1746031746032,4.4,9279.0,440.0,47.0
Владимирская область,2017,71.15,449849.2,103.5514379463424,4.8,9104.0,6.0,37.0
Воронежская область,2017,73.03,873429.4,102.81458554985976,4.3,8034.0,107.0,76.0
Ивановская область,2017,71.47,212464.7,102.139140489497,4.7,9488.0,6.0,23.0
Калужская область,2017,71.87,457052.5,103.3759298111768,4.0,9601.0,129.0,27.0
Костромская область,2017,71.81,178485.6,103.14854162642456,5.3,9291.0,24.0,54.0
Курская область,2017,71.74,404759.8,103.84726641596762,4.1,8476.0,39.0,40.0
Липецкая область,2017,72.46,522266.2,105.06439430618768,3.9,8313.0,1462.0,326.0
Московская область,2017,73.34,4290261.2,105.69888332691568,3.2,11365.0,1194.0,227.0
Орловская область,2017,71.63,231118.4,103.50149512877398,6.5,8932.0,7.0,21.0
Рязанская область,2017,72.7,395276.9,101.19674485399712,4.1,8898.0,572.0,96.0
Смоленская область,2017,71.14,313615.8,101.13987635239567,5.7,9664.0,113.0,62.0
Тамбовская область,2017,73.21,320572.4,102.90135396518376,4.4,8214.0,15.0,63.0
Тверская область,2017,70.45,420671.5,102.36985236985238,4.5,9665.0,67.0,74.0
Тульская область,2017,71.18,594407.6,104.06189555125724,3.9,9065.0,403.0,120.0
Ярославская область,2017,71.85,534549.7,104.04791807554824,6.6,8994.0,62.0,76.0
г. Москва,2017,77.87,16538189.5,98.70179457808324,1.4,15397.0,52.0,60.0
Республика Карелия,2017,70.65,270802.5,100.77369439071566,8.6,12203.0,105.0,114.0
Республика Коми,2017,71.05,608574.5,101.0725673978162,7.8,12539.0,664.0,451.0
Архангельская область,2017,71.94,759206.5,101.9755955839628,6.4,11380.0,417.0,251.0
Вологодская область,2017,71.26,542663.4,104.86454995630643,5.3,10234.0,2137.0,429.0
Калининградская область,2017,72.62,446677.6,100.41598142594565,5.2,10343.0,24.0,26.0
Ленинградская область,2017,72.54,1002543.3,104.22480993167164,4.6,9628.0,789.0,226.0
Мурманская область,2017,71.67,479352.8,101.66890466142335,7.0,13787.0,1356.0,243.0
Новгородская область,2017,69.68,256165.8,101.40028971511347,4.7,9886.0,155.0,53.0
Псковская область,2017,69.95,165858.1,101.72430401695404,6.5,10184.0,47.0,35.0
г. Санкт-Петербург,2017,75.45,4283036.300000001,105.7424983223085,1.6,10792.0,82.0,87.0
Республика Адыгея,2017,73.25,109714.5,101.74697638702246,8.8,8579.0,5.0,10.0
Республика Калмыкия,2017,73.54,80126.9,103.1669865642994,9.9,8551.0,0.4,3.0
Краснодарский край,2017,73.42,2422752.7,101.509180044218,5.7,9925.0,1238.0,427.0
