region,year,opzh
Республика Мордовия,2007,68.4
Республика Татарстан,2007,69.44
Удмуртская Республика,2007,66.59
Чувашская Республика,2007,67.39
Кировская область,2007,67.02
Нижегородская область,2007,65.58
Оренбургская область,2007,66.68
Пензенская область,2007,68.3
Самарская область,2007,67.19
Саратовская область,2007,68.01
Ульяновская область,2007,66.97
Курганская область,2007,66.66
Свердловская область,2007,67.5
Тюменская область,2007,68.57
Челябинская область,2007,67.14
Республика Алтай,2007,64.33
Республика Тыва,2007,59.16
Республика Хакасия,2007,66.19
Алтайский край,2007,67.22
Красноярский край,2007,66.58
Иркутская область,2007,64.9
Кемеровская область,2007,64.01
Новосибирская область,2007,67.43
Омская область,2007,66.54
Томская область,2007,67.68
Республика Бурятия,2007,64.2
Республика Саха (Якутия),2007,66.17
Приморский край,2007,65.11
Хабаровский край,2007,64.76
Амурская область,2007,63.93
Магаданская область,2007,63.57
Сахалинская область,2007,64.48
Еврейская автономная область,2007,61.94
Чукотский автономный округ,2007,58.72
Белгородская область,2008,70.49
Брянская область,2008,66.49
Владимирская область,2008,65.45
Воронежская область,2008,67.82
Ивановская область,2008,65.96
Калужская область,2008,66.8
Костромская область,2008,66.34
Курская область,2008,66.85
Липецкая область,2008,67.53
Московская область,2008,67.3
Орловская область,2008,67.7
Рязанская область,2008,66.43
Смоленская область,2008,64.53
Тамбовская область,2008,68.24
Тверская область,2008,64.82
Тульская область,2008,65.42
Ярославская область,2008,67.6
г. Москва,2008,72.84
Республика Карелия,2008,65.48
Республика Коми,2008,66.2
Архангельская область,2008,66.94
Вологодская область,2008,66.91
Калининградская область,2008,66.51
Ленинградская область,2008,65.22
Мурманская область,2008,66.7
Новгородская область,2008,63.62
Псковская область,2008,63.62
г. Санкт-Петербург,2008,70.48
Республика Адыгея,2008,68.67
Республика Калмыкия,2008,68.99
Краснодарский край,2008,69.72
Астраханская область,2008,67.97
Волгоградская область,2008,68.99
Ростовская область,2008,68.88
Республика Дагестан,2008,74.37
Республика Ингушетия,2008,80.1
Кабардино-Балкарская Республика,2008,72.53
Карачаево-Черкесская Республика,2008,71.55
